journal_entry_id,fiscal_year
1,2023
2,2023
3,2023
4,2023
5,2023
6,2023
7,2023
8,2023
9,2023
10,2023
11,2023
12,2023
13,2023
14,2023
15,2023
16,2023
17,2023
18,2023
19,2023
20,2023
21,2023
22,2023
23,2023
24,2023
25,2023
26,2023
27,2023
28,2023
29,2023
30,2023
31,2023
32,2023
33,2023
34,2023
35,2023
36,2023
37,2023
38,2023
39,2023
40,2023
41,2023
42,2023
43,2023
44,2023
45,2023
46,2023
47,2023
48,2023
49,2023
50,2023
51,2023
52,2023
53,2023
54,2023
55,2023
56,2023
57,2023
58,2023
59,2023
60,2023
61,2023
62,2023
63,2023
64,2023
65,2023
66,2023
67,2023
68,2023
69,2023
70,2023
71,2023
72,2023
73,2023
74,2023
75,2023
76,2023
77,2023
78,2023
79,2023
80,2023
81,2023
82,2023
83,2023
84,2023
85,2023
86,2023
87,2023
88,2023
89,2023
90,2023
91,2023
92,2023
93,2023
94,2023
95,2023
96,2023
97,2023
98,2023
99,2023
100,2023
101,2023
102,2023
103,2023
104,2023
105,2023
106,2023
107,2023
108,2023
109,2023
110,2023
111,2023
112,2023
113,2023
114,2023
115,2023
116,2023
117,2023
118,2023
119,2023
120,2023
121,2023
122,2023
123,2023
124,2023
125,2023
126,2023
127,2023
128,2023
129,2023
130,2023
131,2023
132,2023
133,2023
134,2023
135,2023
136,2023
137,2023
138,2023
139,2023
140,2023
141,2023
142,2023
143,2023
144,2023
145,2023
146,2023
147,2023
148,2023
149,2023
150,2023
151,2023
152,2023
153,2023
154,2023
155,2023
156,2023
157,2023
158,2023
159,2023
160,2023
161,2023
162,2023
163,2023
164,2023
165,2023
166,2023
167,2023
168,2023
169,2023
170,2023
171,2023
172,2023
173,2023
174,2023
175,2023
176,2023
177,2023
178,2023
179,2023
180,2023
181,2023
182,2023
183,2023
184,2023
185,2023
186,2023
187,2023
188,2023
189,2023
190,2023
191,2023
192,2023
193,2023
194,2023
195,2023
196,2023
197,2023
198,2023
199,2023
200,2023
201,2023
202,2023
203,2023
204,2023
205,2023
206,2023
207,2023
208,2023
209,2023
210,2023
211,2023
212,2023
213,2023
214,2023
215,2023
216,2023
217,2023
218,2023
219,2023
220,2023
221,2023
222,2023
223,2023
224,2023
225,2023
226,2023
227,2023
228,2023
229,2023
230,2023
231,2023
232,2023
233,2023
234,2023
235,2023
236,2023
237,2023
238,2023
239,2023
240,2023
241,2023
242,2023
243,2023
244,2023
245,2023
246,2023
247,2023
248,2023
249,2023
250,2023
251,2023
252,2023
253,2023
254,2023
255,2023
256,2023
257,2023
258,2023
259,2023
260,2023
261,2023
262,2023
263,2023
264,2023
265,2023
266,2023
267,2023
268,2023
269,2023
270,2023
271,2023
272,2023
273,2023
274,2023
276,2023
277,2023
278,2023
279,2023
280,2023
281,2023
282,2023
283,2023
284,2023
285,2023
286,2023
287,2023
288,2023
289,2023
290,2023
291,2023
292,2023
293,2023
294,2023
295,2023
296,2023
297,2023
298,2023
299,2023
300,2023
301,2023
302,2023
303,2023
304,2023
305,2023
306,2023
307,2023
308,2023
309,2023
310,2023
311,2023
312,2023
313,2023
314,2023
315,2023
316,2023
317,2023
318,2023
319,2023
320,2023
321,2023
322,2023
323,2023
324,2023
325,2023
326,2023
327,2023
328,2023
329,2023
330,2023
331,2023
332,2023
333,2023
334,2023
335,2023
336,2023
337,2023
338,2023
339,2023
340,2023
341,2023
342,2023
343,2023
344,2023
345,2023
346,2023
347,2023
348,2023
349,2023
350,2023
351,2023
352,2023
353,2023
354,2023
355,2023
356,2023
357,2023
358,2023
359,2023
360,2023
361,2023
362,2023
363,2023
364,2023
365,2023
366,2023
367,2023
368,2023
369,2023
370,2023
371,2023
372,2023
373,2023
374,2023
375,2023
376,2023
377,2023
378,2023
379,2023
380,2023
381,2023
382,2023
383,2023
384,2023
385,2023
386,2023
387,2023
388,2023
389,2023
390,2023
391,2023
392,2023
393,2023
394,2023
395,2023
396,2023
397,2023
398,2023
399,2023
400,2023
401,2023
402,2023
403,2023
404,2023
405,2023
406,2023
407,2023
408,2023
409,2023
410,2023
411,2023
412,2023
413,2023
414,2023
415,2023
416,2023
417,2023
418,2023
419,2023
420,2023
421,2023
422,2023
423,2023
424,2023
425,2023
426,2023
427,2023
428,2023
429,2023
430,2023
431,2023
432,2023
433,2023
434,2023
435,2023
436,2023
437,2023
438,2023
439,2023
440,2023
441,2023
442,2023
443,2023
444,2023
445,2023
446,2023
447,2023
448,2023
449,2023
450,2023
451,2023
452,2023
453,2023
454,2023
455,2023
456,2023
457,2023
458,2023
459,2023
460,2023
461,2023
462,2023
463,2023
464,2023
465,2023
466,2023
467,2023
468,2023
469,2023
470,2023
471,2023
472,2023
473,2023
474,2023
475,2023
476,2023
477,2023
478,2023
479,2023
480,2023
481,2023
482,2023
483,2023
484,2023
485,2023
486,2023
487,2023
488,2023
489,2023
490,2023
491,2023
492,2023
493,2023
494,2023
495,2023
496,2023
497,2023
498,2023
499,2023
500,2023
501,2023
502,2023
503,2023
504,2023
505,2023
506,2023
507,2023
508,2023
509,2023
510,2023
511,2023
512,2023
513,2023
514,2023
515,2023
516,2023
517,2023
518,2023
519,2023
520,2023
521,2023
522,2023
523,2023
524,2023
525,2023
526,2023
527,2023
528,2023
529,2023
530,2023
531,2023
532,2023
533,2023
534,2023
535,2023
536,2023
537,2023
538,2023
539,2023
540,2023
541,2023
542,2023
543,2023
544,2023
545,2023
546,2023
547,2023
548,2023
549,2023
550,2023
551,2023
552,2023
553,2023
554,2023
555,2023
556,2023
557,2023
558,2023
559,2023
560,2023
561,2023
562,2023
563,2023
564,2023
565,2023
566,2023
567,2023
568,2023
569,2023
570,2023
571,2023
572,2023
573,2023
574,2023
575,2023
576,2023
577,2023
578,2023
579,2023
580,2023
581,2023
582,2023
583,2023
584,2023
585,2023
586,2023
587,2023
588,2023
589,2023
590,2023
591,2023
592,2023
593,2023
594,2023
595,2023
596,2023
597,2023
598,2023
599,2023
600,2023
601,2023
602,2023
603,2023
604,2023
605,2023
606,2023
607,2023
608,2023
609,2023
610,2023
611,2023
612,2023
613,2023
614,2023
615,2023
616,2023
617,2023
618,2023
619,2023
620,2023
621,2023
622,2023
623,2023
624,2023
625,2023
626,2023
627,2023
628,2023
629,2023
630,2023
631,2023
632,2023
633,2023
634,2023
635,2023
636,2023
637,2023
638,2023
639,2023
640,2023
641,2023
642,2023
643,2023
644,2023
645,2023
646,2023
647,2023
648,2023
649,2023
650,2023
651,2023
652,2023
653,2023
654,2023
655,2023
656,2023
657,2023
658,2023
659,2023
660,2023
661,2023
662,2023
663,2023
664,2023
665,2023
666,2023
667,2023
668,2023
669,2023
670,2023
671,2023
672,2023
673,2023
674,2023
675,2023
676,2023
677,2023
678,2023
679,2023
680,2023
681,2023
682,2023
683,2023
684,2023
685,2023
686,2023
687,2023
688,2023
689,2023
690,2023
691,2023
692,2023
693,2023
695,2023
696,2023
697,2023
698,2023
699,2023
700,2023
701,2023
702,2023
703,2023
704,2023
705,2023
706,2023
707,2023
708,2023
709,2023
710,2023
711,2023
712,2023
713,2023
714,2023
715,2023
716,2023
717,2023
718,2023
719,2023
720,2023
721,2023
722,2023
723,2023
724,2023
725,2023
726,2023
727,2023
728,2023
729,2023
730,2023
731,2023
732,2023
733,2023
734,2023
735,2023
736,2023
737,2023
738,2023
739,2023
740,2023
741,2023
742,2023
743,2023
744,2023
745,2023
746,2023
747,2023
748,2023
749,2023
750,2023
751,2023
752,2023
753,2023
754,2023
755,2023
756,2023
757,2023
758,2023
759,2023
760,2023
761,2023
762,2023
763,2023
764,2023
765,2023
766,2023
767,2023
768,2023
769,2023
770,2023
771,2023
772,2023
773,2023
774,2023
775,2023
776,2023
777,2023
778,2023
779,2023
780,2023
781,2023
783,2023
793,2023
796,2023
802,2023
803,2023
804,2023
805,2023
806,2023
808,2023
810,2023
811,2023
812,2023
813,2023
814,2023
817,2023
818,2023
819,2023
820,2023
821,2023
825,2023
826,2023
831,2023
832,2023
833,2023
834,2023
835,2023
838,2023
840,2023
842,2023
843,2023
844,2023
846,2023
847,2023
848,2023
849,2023
850,2023
852,2023
853,2023
854,2023
855,2023
858,2023
859,2023
862,2023
863,2023
864,2023
865,2023
866,2023
867,2023
868,2023
869,2023
870,2023
871,2023
872,2023
873,2023
874,2023
875,2023
876,2023
877,2023
878,2023
879,2023
880,2023
881,2023
882,2023
883,2023
884,2023
885,2023
886,2023
887,2023
888,2023
889,2023
890,2023
891,2023
892,2023
893,2023
894,2023
895,2023
896,2023
897,2023
898,2023
899,2023
900,2023
901,2023
902,2023
903,2023
904,2023
905,2023
906,2023
907,2023
908,2023
909,2023
910,2023
911,2023
912,2023
913,2023
914,2023
915,2023
916,2023
917,2023
918,2023
919,2023
920,2023
921,2023
922,2023
923,2023
924,2023
925,2023
926,2023
927,2023
928,2023
929,2023
930,2023
931,2023
932,2023
933,2023
934,2023
935,2023
936,2023
937,2023
938,2023
939,2023
940,2023
941,2023
942,2023
943,2023
944,2023
945,2023
946,2023
947,2023
948,2023
949,2023
950,2023
951,2023
952,2023
953,2023
954,2023
955,2023
956,2023
957,2023
958,2023
959,2023
960,2023
961,2023
962,2023
963,2023
964,2023
965,2023
966,2023
967,2023
968,2023
969,2023
970,2023
971,2023
972,2023
973,2023
974,2023
975,2023
976,2023
977,2023
978,2023
979,2023
980,2023
981,2023
982,2023
983,2023
984,2023
985,2023
986,2023
987,2023
988,2023
989,2023
990,2023
991,2023
992,2023
993,2023
994,2023
995,2023
996,2023
997,2023
998,2023
999,2023
1000,2023
1001,2023
1002,2023
1003,2023
1004,2023
1005,2023
1006,2023
1007,2023
1008,2023
1009,2023
1010,2023
1011,2023
1012,2023
1013,2023
1014,2023
1015,2023
1016,2023
1017,2023
1018,2023
1019,2023
1020,2023
1021,2023
1022,2023
1023,2023
1024,2023
1025,2023
1026,2023
1027,2023
1028,2023
1029,2023
1030,2023
1031,2023
1032,2023
1033,2023
1034,2023
1035,2023
1036,2023
1037,2023
1038,2023
1039,2023
1040,2023
1041,2023
1042,2023
1043,2023
1044,2023
1045,2023
1046,2023
1047,2023
1048,2023
1049,2023
1050,2023
1051,2023
1052,2023
1053,2023
1054,2023
1055,2023
1056,2023
1057,2023
1058,2023
1059,2023
1060,2023
1061,2023
1062,2023
1063,2023
1064,2023
1065,2023
1066,2023
1067,2023
1068,2023
1069,2023
1070,2023
1071,2023
1072,2023
1073,2023
1074,2023
1075,2023
1076,2023
1077,2023
1078,2023
1079,2023
1080,2023
1081,2023
1082,2023
1083,2023
1084,2023
1085,2023
1086,2023
1087,2023
1088,2023
1089,2023
1090,2023
1091,2023
1092,2023
1093,2023
1094,2023
1095,2023
1096,2023
1097,2023
1098,2023
1099,2023
1100,2023
1101,2023
1102,2023
1103,2023
1104,2023
1105,2023
1106,2023
1107,2023
1108,2023
1109,2023
1110,2023
1111,2023
1112,2023
1113,2023
1114,2023
1115,2023
1116,2023
1117,2023
1118,2023
1119,2023
1120,2023
1121,2023
1122,2023
1123,2023
1124,2023
1125,2023
1126,2023
1127,2023
1128,2023
1129,2023
1130,2023
1131,2023
1132,2023
1133,2023
1134,2023
1135,2023
1136,2023
1137,2023
1138,2023
1139,2023
1140,2023
1141,2023
1142,2023
1143,2023
1144,2023
1145,2023
1146,2023
1147,2023
1148,2023
1149,2023
1150,2023
1151,2023
1152,2023
1153,2023
1154,2023
1155,2023
1156,2023
1157,2023
1158,2023
1159,2023
1160,2023
1161,2023
1162,2023
1163,2023
1164,2023
1165,2023
1166,2023
1167,2023
1168,2023
1169,2023
1170,2023
1171,2023
1172,2023
1173,2023
1174,2023
1175,2023
1176,2023
1177,2023
1178,2023
1179,2023
1180,2023
1181,2023
1182,2023
1183,2023
1184,2023
1185,2023
1186,2023
1187,2023
1188,2023
1189,2023
1190,2023
1191,2023
1192,2023
1193,2023
1194,2023
1195,2023
1196,2023
1197,2023
1198,2023
1199,2023
1200,2023
1201,2023
1202,2023
1203,2023
1204,2023
1205,2023
1206,2023
1207,2023
1208,2023
1209,2023
1210,2023
1211,2023
1212,2023
1213,2023
1214,2023
1215,2023
1216,2023
1217,2023
1218,2023
1219,2023
1220,2023
1221,2023
1222,2023
1223,2023
1224,2023
1225,2023
1226,2023
1227,2023
1228,2023
1229,2023
1230,2023
1231,2023
1232,2023
1233,2023
1234,2023
1235,2023
1236,2023
1237,2023
1238,2023
1239,2023
1240,2023
1241,2023
