journal_entry_id,posting_date
1000000000.0,01/01/2025
1000000001.0,02/01/2025
1000000002.0,03/01/2025
1000000003.0,04/01/2025
1000000004.0,04/01/2025
1000000005.0,05/01/2025
1000000006.0,06/01/2025
1000000007.0,07/01/2025
1000000008.0,07/01/2025
1000000009.0,08/01/2025
1000000010.0,08/01/2025
1000000011.0,09/01/2025
1000000012.0,10/01/2025
1000000013.0,10/01/2025
1000000014.0,11/01/2025
1000000015.0,11/01/2025
1000000016.0,12/01/2025
1000000017.0,12/01/2025
1000000018.0,13/01/2025
1000000019.0,13/01/2025
1000000020.0,14/01/2025
1000000021.0,15/01/2025
1000000022.0,16/01/2025
1000000023.0,16/01/2025
1000000024.0,17/01/2025
1000000025.0,18/01/2025
1000000026.0,18/01/2025
1000000027.0,19/01/2025
1000000028.0,20/01/2025
1000000029.0,21/01/2025
1000000030.0,22/01/2025
1000000031.0,23/01/2025
1000000032.0,23/01/2025
1000000033.0,24/01/2025
1000000034.0,24/01/2025
1000000035.0,25/01/2025
1000000036.0,26/01/2025
1000000037.0,27/01/2025
1000000038.0,30/01/2025
1000000039.0,31/01/2025
1010000008.0,06/01/2025
1010000009.0,01/01/2025
1010000010.0,06/01/2025
1010000011.0,06/01/2025
1010000012.0,06/01/2025
1010000013.0,06/01/2025
1010000014.0,02/01/2025
1010000015.0,03/01/2025
1010000016.0,06/01/2025
1010000017.0,02/01/2025
1010000018.0,06/01/2025
1010000019.0,01/01/2025
1010000020.0,02/01/2025
1010000021.0,03/01/2025
1010000022.0,01/01/2025
1010000023.0,06/01/2025
1010000024.0,02/01/2025
1010000025.0,03/01/2025
1010000026.0,06/01/2025
1010000027.0,01/01/2025
1010000028.0,06/01/2025
1010000029.0,06/01/2025
1010000030.0,06/01/2025
1010000031.0,06/01/2025
1010000032.0,06/01/2025
1010000033.0,03/01/2025
1010000034.0,03/01/2025
1010000035.0,02/01/2025
1010000036.0,06/01/2025
1010000037.0,01/01/2025
1010000038.0,02/01/2025
1010000039.0,03/01/2025
1010000040.0,06/01/2025
1010000041.0,06/01/2025
1010000042.0,06/01/2025
1010000043.0,03/01/2025
1010000044.0,01/01/2025
1010000045.0,06/01/2025
1010000046.0,06/01/2025
