journal_entry_id,posting_date,description
1.0,01/01/2024,CONTRAASIENTO DE CARTERAS               
2.0,01/01/2024,BONIF.CONFIRMING PROVE.                 
3.0,01/01/2024,PAGO S/FRA. ALQUILER ENERO- 2024        
4.0,01/01/2024,GAST.BANC. CGO. TRIME AVAL AGROBACTER   
5.0,01/01/2024,CONDONACION PREC. EXTRACT               
6.0,01/01/2024,EXTRACTO                                
7.0,01/01/2024,MANTENIMIENTO                           
8.0,01/01/2024,CONDONACION MANTENIMIENTO               
9.0,01/01/2024,RETROCESION CONTABILI.DUPLICADAS        
10.0,01/01/2024,APERTURA EJERCICIO                      
11.0,01/01/2024,RETROCESO PROVISION FACT.2023           
12.0,01/01/2024,RECLASIFICACION IRPF                    
13.0,01/01/2024,REGULARIZACI¢N PROV. GRUPO PAP          
14.0,01/01/2024,REGULARIZACION 555000000                
15.0,01/01/2024,S/FRA.N§ 849                            
16.0,01/01/2024,S/FRA.N§ 2205                           
17.0,01/01/2024,S/FRA.N§ 271                            
18.0,01/01/2024,S/FRA.N§ 772                            
19.0,01/01/2024,S/FRA.N§ 404337                         
20.0,01/01/2024,S/FRA.N§ 404338                         
21.0,01/01/2024,S/FRA.N§ 120634                         
22.0,01/01/2024,S/FRA.N§ 120635                         
23.0,01/01/2024,S/FRA.N§ 120636                         
24.0,01/01/2024,S/FRA.N§ 120638                         
25.0,01/01/2024,S/FRA.N§ 120637                         
26.0,01/01/2024,S/FRA.N§ 323015                         
27.0,01/01/2024,S/FRA.N§ 323017                         
28.0,01/01/2024,S/FRA.N§ 323016                         
29.0,01/01/2024,S/FRA.N§ 322792                         
30.0,01/01/2024,S/FRA.N§ 2463                           
31.0,01/01/2024,S/FRA.N§ 1025                           
32.0,01/01/2024,S/FRA.N§ 1020                           
33.0,01/01/2024,S/FRA.N§ 1019                           
34.0,01/01/2024,S/FRA.N§ 1018                           
35.0,01/01/2024,S/FRA.N§ 1017                           
36.0,01/01/2024,S/FRA.N§ 187                            
37.0,01/01/2024,S/FRA.N§ 120671                         
38.0,01/01/2024,S/FRA.N§ 120672                         
