journal_entry_id,posting_date,fiscal_year,prepared_by
100000000,02/01/2024,2024,PARNEDO
100000001,02/01/2024,2024,PARNEDO
100000002,02/01/2024,2024,PARNEDO
100000003,02/01/2024,2024,PARNEDO
100000004,02/01/2024,2024,PARNEDO
100000005,02/01/2024,2024,PARNEDO
100000006,02/01/2024,2024,PARNEDO
100000007,02/01/2024,2024,PARNEDO
100000008,02/01/2024,2024,PARNEDO
100000009,02/01/2024,2024,PARNEDO
100000010,02/01/2024,2024,PARNEDO
100000011,02/01/2024,2024,PARNEDO
100000012,02/01/2024,2024,PARNEDO
100000013,02/01/2024,2024,PARNEDO
100000014,02/01/2024,2024,PARNEDO
100000016,03/01/2024,2024,MRAMOS
100000017,03/01/2024,2024,MRAMOS
100000018,03/01/2024,2024,MRAMOS
100000019,03/01/2024,2024,MRAMOS
100000020,03/01/2024,2024,PARNEDO
100000021,03/01/2024,2024,PARNEDO
100000022,03/01/2024,2024,PARNEDO
100000023,03/01/2024,2024,PARNEDO
100000024,03/01/2024,2024,PARNEDO
100000025,03/01/2024,2024,PARNEDO
100000026,03/01/2024,2024,PARNEDO
100000027,03/01/2024,2024,PARNEDO
100000028,03/01/2024,2024,PARNEDO
100000029,03/01/2024,2024,PARNEDO
100000030,03/01/2024,2024,PARNEDO
100000031,03/01/2024,2024,PARNEDO
100000032,03/01/2024,2024,PARNEDO
100000033,03/01/2024,2024,PARNEDO
100000034,03/01/2024,2024,PARNEDO
100000035,03/01/2024,2024,PARNEDO
100000036,03/01/2024,2024,PARNEDO
100000037,03/01/2024,2024,PARNEDO
100000038,03/01/2024,2024,PARNEDO
100000039,03/01/2024,2024,PARNEDO
100000040,03/01/2024,2024,PARNEDO
100000041,03/01/2024,2024,PARNEDO
100000042,03/01/2024,2024,PARNEDO
100000043,03/01/2024,2024,PARNEDO
100000044,03/01/2024,2024,PARNEDO
100000045,03/01/2024,2024,PARNEDO
100000046,03/01/2024,2024,PARNEDO
100000047,03/01/2024,2024,PARNEDO
100000048,03/01/2024,2024,PARNEDO
100000049,03/01/2024,2024,PARNEDO
100000050,03/01/2024,2024,PARNEDO
100000051,03/01/2024,2024,PARNEDO
100000052,03/01/2024,2024,PARNEDO
100000053,03/01/2024,2024,PARNEDO
100000054,03/01/2024,2024,PARNEDO
100000055,03/01/2024,2024,PARNEDO
100000056,03/01/2024,2024,PARNEDO
100000057,03/01/2024,2024,PARNEDO
100000058,03/01/2024,2024,PARNEDO
100000059,03/01/2024,2024,PARNEDO
100000060,03/01/2024,2024,PARNEDO
100000061,03/01/2024,2024,PARNEDO
100000062,03/01/2024,2024,PARNEDO
100000063,03/01/2024,2024,PARNEDO
